LOT,Unnamed: 0,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Humidity,Temperature,Casting_Pressure
180102-021-0101,0.0,0.9583333333333333,0.7777777777777778,0.6333333333333333,0.7677852348993279,0.7290729072907303,1.0
180102-021-0101,0.02040816326530612,0.6666666666666666,0.5555555555555556,0.26666666666666666,0.22416107382550238,0.18811881188118798,0.9946949602122016
180102-021-0101,0.04081632653061224,0.22916666666666685,0.8888888888888888,0.7333333333333333,0.9185682326621915,0.9423942394239438,1.0
180102-021-0101,0.061224489795918366,0.1250000000000001,0.1111111111111111,0.0,0.04697986577181228,0.047704770477046896,0.05570291777188329
180102-021-0101,0.08163265306122448,0.6666666666666666,0.4444444444444444,0.36666666666666664,0.3060402684563748,0.21602160216021643,0.9920424403183024
180102-021-0101,0.10204081632653061,0.6666666666666666,0.3333333333333333,0.2,0.08366890380313094,0.0990099009900986,0.9946949602122016
180102-021-0101,0.12244897959183673,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007
180102-021-0101,0.14285714285714285,0.5000000000000001,0.6666666666666666,0.6333333333333333,0.7677852348993279,0.7290729072907303,0.9973474801061007
180102-021-0101,0.16326530612244897,0.5833333333333333,0.5555555555555556,0.2,0.05324384787472027,0.09450945094509498,0.9893899204244032
180102-021-0101,0.1836734693877551,0.7916666666666667,0.5555555555555556,0.6333333333333333,0.7038031319910518,0.6993699369936994,0.9973474801061007
180102-021-0101,0.20408163265306123,0.625,0.3333333333333333,0.36666666666666664,0.1418344519015661,0.18001800180017957,0.9946949602122016
180102-021-0101,0.22448979591836735,0.8750000000000002,0.7777777777777778,0.8,0.947651006711409,1.0,0.9973474801061007
180102-021-0101,0.24489795918367346,0.9583333333333333,1.0,0.5333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007
180102-021-0101,0.2653061224489796,0.041666666666666706,0.5555555555555556,0.36666666666666664,0.6362416107382555,0.32583258325832626,0.9946949602122016
180102-021-0101,0.2857142857142857,0.7916666666666667,0.5555555555555556,0.36666666666666664,0.6026845637583884,0.27992799279928016,0.9946949602122016
180102-021-0101,0.30612244897959184,0.8750000000000002,0.7777777777777778,0.6333333333333333,0.6362416107382555,0.36453645364536436,0.9946949602122016
180102-021-0101,0.32653061224489793,0.7083333333333334,0.8888888888888888,0.5333333333333333,0.6353467561521247,0.27992799279928016,0.9946949602122016
180102-021-0101,0.3469387755102041,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.7038031319910518,0.6993699369936994,0.9946949602122016
180102-021-0101,0.3673469387755102,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.7145413870246077,0.4653465346534653,1.0
180102-021-0101,0.3877551020408163,0.5833333333333333,0.7777777777777778,0.36666666666666664,0.6026845637583884,0.27992799279928016,0.05305039787798409
180102-021-0101,0.40816326530612246,0.9166666666666666,0.8888888888888888,0.9,0.9185682326621915,0.9423942394239438,1.0
180102-021-0101,0.42857142857142855,0.8541666666666669,0.5555555555555556,0.5333333333333333,0.6523489932885901,0.3690369036903695,0.9946949602122016
180102-021-0101,0.4489795918367347,0.8333333333333335,0.4444444444444444,0.36666666666666664,0.3060402684563748,0.21602160216021643,0.9946949602122016
180102-021-0101,0.46938775510204084,0.8750000000000002,0.7222222222222222,0.6333333333333333,0.7176733780760625,0.41584158415841604,0.9946949602122016
180102-021-0101,0.4897959183673469,0.24999999999999992,0.5555555555555556,0.36666666666666664,0.6362416107382555,0.32583258325832626,0.9946949602122016
180102-021-0101,0.5102040816326531,0.8958333333333335,0.6666666666666666,0.36666666666666664,0.6362416107382555,0.36453645364536436,0.9973474801061007
180102-021-0101,0.5306122448979592,0.9166666666666666,1.0,0.9,0.9337807606263984,0.9981998199819992,0.9973474801061007
180102-021-0101,0.5510204081632653,0.9583333333333333,1.0,0.8,0.7700223713646535,0.7299729972997306,0.9973474801061007
180102-021-0101,0.5714285714285714,0.7291666666666667,0.8333333333333334,0.36666666666666664,0.6899328859060395,0.36993699369936994,0.9920424403183024
180102-021-0101,0.5918367346938775,0.8541666666666669,0.8333333333333334,0.4666666666666667,0.6348993288590608,0.5598559855985603,0.9973474801061007
180102-021-0101,0.6122448979591837,0.4583333333333334,0.1111111111111111,0.0,0.0,0.0,0.0
180102-021-0101,0.6326530612244898,0.5416666666666669,0.6666666666666666,0.6333333333333333,0.9324384787472036,0.8784878487848785,0.9973474801061007
180102-021-0101,0.6530612244897959,0.41666666666666674,0.0,0.1,0.1042505592841166,0.11341134113411303,0.9920424403183024
180102-021-0101,0.673469387755102,0.41666666666666674,0.2777777777777778,0.36666666666666664,0.6026845637583884,0.27992799279928016,0.05570291777188329
180102-021-0101,0.6938775510204082,0.9583333333333333,1.0,0.8,0.9861297539149894,0.906390639063907,0.9973474801061007
180102-021-0101,0.7142857142857143,0.7083333333333334,0.5555555555555556,0.4666666666666667,0.6523489932885901,0.3690369036903695,0.9973474801061007
180102-021-0101,0.7346938775510204,0.7916666666666667,0.8888888888888888,0.5333333333333333,0.9185682326621915,0.9423942394239438,0.9973474801061007
180102-021-0101,0.7551020408163265,1.0,1.0,0.7333333333333333,0.7677852348993279,0.7290729072907303,0.9973474801061007
180102-021-0101,0.7755102040816326,1.0,0.8888888888888888,1.0,1.0,0.9090909090909098,0.9973474801061007
180102-021-0101,0.7959183673469388,0.9166666666666666,1.0,0.8,0.947651006711409,1.0,0.9973474801061007
180102-021-0101,0.8163265306122449,0.37500000000000006,0.7222222222222222,0.9,0.882774049217002,0.9918991899189932,1.0
180102-021-0101,0.8367346938775511,0.08333333333333341,0.4444444444444444,0.5333333333333333,0.6523489932885901,0.3690369036903695,0.9946949602122016
180102-021-0101,0.8571428571428571,0.39583333333333337,0.3888888888888889,0.2,0.08366890380313094,0.0990099009900986,0.9946949602122016
180102-021-0101,0.8775510204081632,0.9583333333333333,0.6111111111111112,0.6333333333333333,0.7700223713646535,0.7299729972997306,0.9973474801061007
180102-021-0101,0.8979591836734694,0.5416666666666669,0.7222222222222222,0.4666666666666667,0.7181208053691279,0.5256525652565258,1.0
180102-021-0101,0.9183673469387755,0.5833333333333333,0.5555555555555556,0.4666666666666667,0.1418344519015661,0.18001800180017957,0.9946949602122016
180102-021-0101,0.9387755102040817,0.8333333333333335,1.0,0.7333333333333333,0.9861297539149894,0.906390639063907,0.9973474801061007
180102-021-0101,0.9591836734693877,0.0,0.2777777777777778,0.36666666666666664,0.3060402684563748,0.21602160216021643,0.9973474801061007
180102-021-0101,0.9795918367346939,0.7916666666666667,0.8888888888888888,0.7333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007
180102-021-0101,1.0,0.625,0.8333333333333334,0.5333333333333333,0.882774049217002,0.9918991899189932,0.9973474801061007
180102-021-0102,0.0,0.0555555555555556,0.0,0.8181818181818182,0.20077972709551892,1.0,0.5
180102-021-0102,0.02040816326530612,0.1111111111111112,0.6666666666666666,0.5454545454545454,0.20857699805068716,0.6666666666666627,0.5
180102-021-0102,0.04081632653061224,0.2222222222222224,0.6666666666666666,0.8181818181818182,0.17348927875244036,0.33333333333333726,0.0
180102-021-0102,0.061224489795918366,0.2222222222222224,0.3333333333333333,0.8181818181818182,0.1228070175438639,0.353333333333338,0.5
180102-021-0102,0.08163265306122448,0.3888888888888892,0.3333333333333333,0.5454545454545454,0.45419103313840115,0.33666666666667466,0.5
180102-021-0102,0.10204081632653061,0.2222222222222224,0.6666666666666666,0.5454545454545454,0.20077972709551892,1.0,0.5
180102-021-0102,0.12244897959183673,0.1111111111111112,1.0,0.5454545454545454,1.0,0.0,0.0
180102-021-0102,0.14285714285714285,0.4444444444444448,0.5,1.0,0.9122807017543829,0.0933333333333406,0.5
180102-021-0102,0.16326530612244897,0.3333333333333336,0.6666666666666666,0.09090909090909091,0.11695906432748943,0.33666666666667466,0.5
180102-021-0102,0.1836734693877551,0.0,1.0,0.5454545454545454,0.33138401559454417,1.0,1.0
180102-021-0102,0.20408163265306123,0.5555555555555552,1.0,0.8181818181818182,0.060428849902538516,0.6566666666666624,0.5
180102-021-0102,0.22448979591836735,0.3333333333333336,0.6666666666666666,0.5454545454545454,0.0,0.390000000000002,0.5
180102-021-0102,0.24489795918367346,0.1111111111111112,1.0,0.8181818181818182,0.177387914230021,1.0,0.5
180102-021-0102,0.2653061224489796,1.0,0.3333333333333333,0.8181818181818182,0.038986354775834425,0.6666666666666627,0.5
180102-021-0102,0.2857142857142857,0.6666666666666664,0.6666666666666666,0.2727272727272727,0.1228070175438639,0.353333333333338,0.5
180102-021-0102,0.30612244897959184,0.1111111111111112,0.6666666666666666,0.5454545454545454,0.33138401559454417,1.0,0.5
180102-021-0102,0.32653061224489793,0.5000000000000003,0.6666666666666666,0.09090909090909091,0.5458089668615989,0.006666666666674799,0.5
180102-021-0102,0.3469387755102041,0.3333333333333336,0.6666666666666666,0.09090909090909091,0.0,0.390000000000002,0.5
180102-021-0102,0.3673469387755102,0.4444444444444448,0.3333333333333333,0.09090909090909091,0.1228070175438639,0.926666666666672,0.5
180102-021-0102,0.3877551020408163,0.2222222222222224,0.16666666666666666,0.5454545454545454,0.333333333333338,0.34000000000000025,0.0
180102-021-0102,0.40816326530612246,0.5555555555555552,0.0,0.09090909090909091,0.732943469785575,0.013333333333337754,0.5
180102-021-0102,0.42857142857142855,0.4444444444444448,0.3333333333333333,0.2727272727272727,0.732943469785575,0.013333333333337754,0.0
180102-021-0102,0.4489795918367347,0.3333333333333336,0.6666666666666666,0.2727272727272727,0.28070175438596773,0.33333333333333726,0.5
180102-021-0102,0.46938775510204084,0.3333333333333336,0.3333333333333333,0.5454545454545454,0.26900584795321875,0.33333333333333726,0.5
180102-021-0102,0.4897959183673469,0.5555555555555552,0.5,0.2727272727272727,0.5458089668615989,0.006666666666674799,0.0
180102-021-0102,0.5102040816326531,0.8888888888888888,0.3333333333333333,0.09090909090909091,0.732943469785575,0.013333333333337754,0.0
180102-021-0102,0.5306122448979592,0.1111111111111112,1.0,0.5454545454545454,0.33138401559454417,1.0,0.5
180102-021-0102,0.5510204081632653,0.4444444444444448,0.6666666666666666,0.2727272727272727,0.11306042884990183,0.639999999999999,0.5
180102-021-0102,0.5714285714285714,0.1111111111111112,0.6666666666666666,0.5454545454545454,0.177387914230021,1.0,1.0
180102-021-0102,0.5918367346938775,0.1111111111111112,0.3333333333333333,0.5454545454545454,0.038986354775834425,0.6666666666666627,0.5
180102-021-0102,0.6122448979591837,0.8888888888888888,0.16666666666666666,0.2727272727272727,0.333333333333338,0.34000000000000025,0.0
180102-021-0102,0.6326530612244898,0.1111111111111112,0.6666666666666666,0.2727272727272727,0.2241715399610168,1.0,0.5
180102-021-0102,0.6530612244897959,0.2222222222222224,0.6666666666666666,0.0,0.177387914230021,1.0,0.0
180102-021-0102,0.673469387755102,0.1111111111111112,0.6666666666666666,0.2727272727272727,0.1208576998050701,0.7233333333333393,0.5
180102-021-0102,0.6938775510204082,0.2222222222222224,0.6666666666666666,0.8181818181818182,0.1208576998050701,0.7233333333333393,0.5
180102-021-0102,0.7142857142857143,1.0,0.3333333333333333,0.09090909090909091,0.11695906432748943,0.33666666666667466,0.5
180102-021-0102,0.7346938775510204,0.3888888888888892,0.6666666666666666,0.5454545454545454,0.06822612085769986,0.6599999999999998,0.0
180102-021-0102,0.7551020408163265,0.1111111111111112,1.0,0.5454545454545454,0.9122807017543829,0.0933333333333406,0.5
180102-021-0102,0.7755102040816326,0.5555555555555552,0.0,1.0,0.06822612085769986,0.6599999999999998,0.5
180102-021-0102,0.7959183673469388,0.4444444444444448,0.3333333333333333,0.2727272727272727,1.0,0.0,0.5
180102-021-0102,0.8163265306122449,0.2222222222222224,1.0,1.0,0.1228070175438639,0.353333333333338,0.5
180102-021-0102,0.8367346938775511,0.3333333333333336,0.3333333333333333,0.5454545454545454,0.0818713450292426,0.6666666666666627,0.5
180102-021-0102,0.8571428571428571,0.0,0.3333333333333333,0.2727272727272727,0.13060428849902525,1.0,1.0
180102-021-0102,0.8775510204081632,0.1111111111111112,0.6666666666666666,0.5454545454545454,0.5185185185185203,0.33333333333333726,0.0
180102-021-0102,0.8979591836734694,0.6666666666666664,0.6666666666666666,0.5454545454545454,0.2729044834307994,0.34000000000000025,0.5
180102-021-0102,0.9183673469387755,0.0,0.6666666666666666,0.2727272727272727,0.17543859649122723,0.6766666666666631,1.0
180102-021-0102,0.9387755102040817,0.5555555555555552,0.3333333333333333,0.09090909090909091,0.20857699805068716,0.6666666666666627,0.5
180102-021-0102,0.9591836734693877,0.1111111111111112,1.0,0.09090909090909091,0.2241715399610168,1.0,1.0
180102-021-0102,0.9795918367346939,0.2222222222222224,0.0,0.8181818181818182,0.0818713450292426,0.6666666666666627,0.5
180102-021-0102,1.0,0.0555555555555556,0.5,0.8181818181818182,0.20077972709551892,1.0,0.5
180102-021-0103,0.0,0.3333333333333333,1.0,0.375,1.0,0.4999999999999911,0.5
180102-021-0103,0.02040816326530612,0.5833333333333334,0.5,0.6875,1.0,0.4999999999999911,0.5
180102-021-0103,0.04081632653061224,0.6666666666666666,0.8333333333333334,0.5,0.14100486223662823,0.9699999999999988,0.0
180102-021-0103,0.061224489795918366,0.6666666666666666,0.6666666666666666,0.875,0.31766612641815434,0.41999999999999965,0.5
180102-021-0103,0.08163265306122448,0.6666666666666666,0.8333333333333334,0.6875,0.3128038897893049,0.45499999999998925,1.0
180102-021-0103,0.10204081632653061,0.4166666666666667,0.8333333333333334,0.375,0.4554294975688791,0.9699999999999988,0.5
180102-021-0103,0.12244897959183673,0.5833333333333334,0.8333333333333334,0.1875,0.09238249594813375,0.9750000000000049,0.5
180102-021-0103,0.14285714285714285,0.6666666666666666,0.6666666666666666,0.6875,0.09238249594813375,0.9750000000000049,0.0
180102-021-0103,0.16326530612244897,0.16666666666666666,0.4166666666666667,0.875,0.5640194489465129,0.9699999999999988,0.5
180102-021-0103,0.1836734693877551,0.5,0.8333333333333334,0.3125,0.4149108589951375,0.009999999999994492,0.5
180102-021-0103,0.20408163265306123,0.3333333333333333,0.4166666666666667,0.5,0.7260940032414906,0.9699999999999988,0.0
180102-021-0103,0.22448979591836735,0.3333333333333333,0.6666666666666666,0.875,0.4554294975688791,0.9699999999999988,0.0
180102-021-0103,0.24489795918367346,0.6666666666666666,0.6666666666666666,0.6875,0.20097244732576758,0.7499999999999956,0.0
180102-021-0103,0.2653061224489796,0.5833333333333334,0.8333333333333334,0.875,0.9270664505672582,0.715000000000006,0.5
180102-021-0103,0.2857142857142857,0.5,0.8333333333333334,0.1875,0.6320907617504052,0.9699999999999988,0.5
180102-021-0103,0.30612244897959184,0.5833333333333334,0.5,0.5,0.038897893030795584,0.9549999999999982,0.0
180102-021-0103,0.32653061224489793,0.5833333333333334,0.6666666666666666,0.1875,0.10858995137763383,0.9349999999999914,0.5
180102-021-0103,0.3469387755102041,0.5833333333333334,0.6666666666666666,0.1875,0.623987034035658,0.9699999999999988,0.5
180102-021-0103,0.3673469387755102,0.4166666666666667,0.16666666666666666,0.5,0.6304700162074535,0.9699999999999988,0.5
180102-021-0103,0.3877551020408163,0.8333333333333334,1.0,0.6875,0.2739059967585093,0.9699999999999988,0.5
180102-021-0103,0.40816326530612246,0.3333333333333333,0.6666666666666666,0.6875,0.31766612641815434,0.41999999999999965,0.5
180102-021-0103,0.42857142857142855,0.6666666666666666,0.8333333333333334,0.5,0.14100486223662823,0.9699999999999988,0.0
180102-021-0103,0.4489795918367347,0.3333333333333333,0.5,0.5,0.6320907617504052,0.9699999999999988,0.5
180102-021-0103,0.46938775510204084,0.4166666666666667,0.16666666666666666,0.6875,0.6320907617504052,0.9699999999999988,0.0
180102-021-0103,0.4897959183673469,0.4166666666666667,0.6666666666666666,0.5,0.3257698541329015,0.0,0.5
180102-021-0103,0.5102040816326531,0.4166666666666667,0.6666666666666666,0.5,0.4149108589951375,0.009999999999994492,0.5
180102-021-0103,0.5306122448979592,0.0,0.6666666666666666,0.6875,0.4554294975688791,0.9699999999999988,0.0
180102-021-0103,0.5510204081632653,0.4166666666666667,0.6666666666666666,0.375,0.7260940032414906,0.9699999999999988,0.5
180102-021-0103,0.5714285714285714,0.6666666666666666,0.8333333333333334,1.0,0.09238249594813375,0.9750000000000049,0.5
180102-021-0103,0.5918367346938775,0.5833333333333334,0.3333333333333333,0.0,0.08103727714748889,0.9799999999999932,0.0
180102-021-0103,0.6122448979591837,0.8333333333333334,0.6666666666666666,0.875,0.116693679092381,0.9699999999999988,0.0
180102-021-0103,0.6326530612244898,0.4166666666666667,0.6666666666666666,0.875,0.2739059967585093,0.9699999999999988,0.5
180102-021-0103,0.6530612244897959,0.5833333333333334,0.5,0.6875,0.34683954619124524,0.14999999999998845,0.5
180102-021-0103,0.673469387755102,0.3333333333333333,0.8333333333333334,0.875,0.623987034035658,0.9699999999999988,0.5
180102-021-0103,0.6938775510204082,0.6666666666666666,0.8333333333333334,0.375,0.0,1.0,0.5
180102-021-0103,0.7142857142857143,0.6666666666666666,0.8333333333333334,0.6875,0.20097244732576758,0.7499999999999956,0.5
180102-021-0103,0.7346938775510204,0.3333333333333333,0.5,0.875,0.6320907617504052,0.9699999999999988,0.0
180102-021-0103,0.7551020408163265,0.4166666666666667,0.6666666666666666,0.875,0.6304700162074535,0.9699999999999988,0.5
180102-021-0103,0.7755102040816326,1.0,0.8333333333333334,0.875,0.5640194489465129,0.9699999999999988,0.5
180102-021-0103,0.7959183673469388,0.4166666666666667,0.3333333333333333,0.875,0.038897893030795584,0.9549999999999982,0.5
180102-021-0103,0.8163265306122449,0.3333333333333333,0.5,0.375,0.6304700162074535,0.9699999999999988,0.5
180102-021-0103,0.8367346938775511,0.4166666666666667,0.6666666666666666,0.6875,0.6320907617504052,0.9699999999999988,0.5
180102-021-0103,0.8571428571428571,0.6666666666666666,0.6666666666666666,0.6875,0.116693679092381,0.9699999999999988,0.0
180102-021-0103,0.8775510204081632,0.16666666666666666,0.5,0.1875,0.7147487844408401,0.9699999999999988,0.5
180102-021-0103,0.8979591836734694,0.5833333333333334,0.6666666666666666,0.375,0.28849270664505766,0.45999999999999536,0.5
180102-021-0103,0.9183673469387755,0.6666666666666666,0.5,0.5,0.3257698541329015,0.0,0.5
180102-021-0103,0.9387755102040817,0.5833333333333334,0.6666666666666666,0.875,0.3257698541329015,0.0,1.0
180102-021-0103,0.9591836734693877,0.5,0.8333333333333334,0.375,0.28849270664505766,0.45999999999999536,0.5
180102-021-0103,0.9795918367346939,0.16666666666666666,0.0,0.375,0.6320907617504052,0.9699999999999988,1.0
180102-021-0103,1.0,0.5,0.8333333333333334,0.375,0.5640194489465129,0.9699999999999988,0.5
180102-021-0104,0.0,0.3333333333333333,0.6500000000000009,0.5714285714285714,0.015990954611532895,0.9381107491856677,0.6666666666666666
180102-021-0104,0.02040816326530612,0.3333333333333333,0.5000000000000007,0.42857142857142855,0.7170085608140847,0.2164870959659232,0.6666666666666666
180102-021-0104,0.04081632653061224,0.3333333333333333,0.6500000000000009,0.5714285714285714,0.7833952511710547,0.15610122776246546,0.6666666666666666
180102-021-0104,0.061224489795918366,0.5,0.6000000000000009,0.5714285714285714,0.024551768696495068,0.9937359057880234,0.3333333333333333
180102-021-0104,0.08163265306122448,0.3333333333333333,0.4000000000000006,0.35714285714285715,0.6320465191406879,0.2563267351540963,0.6666666666666666
180102-021-0104,0.10204081632653061,0.5,0.6000000000000009,0.5714285714285714,0.8016475528993698,0.1408168378852417,0.3333333333333333
180102-021-0104,0.12244897959183673,0.5,0.6000000000000009,0.5714285714285714,0.048295913422710855,0.9977449260836891,0.6666666666666666
180102-021-0104,0.14285714285714285,0.5,0.700000000000001,0.5714285714285714,0.8341140365046034,0.12478075670258071,0.3333333333333333
180102-021-0104,0.16326530612244897,0.16666666666666666,0.8000000000000012,0.7857142857142857,0.03666612825068652,1.0,0.3333333333333333
180102-021-0104,0.1836734693877551,0.3333333333333333,0.5500000000000007,0.5714285714285714,0.7367145856889029,0.20145326985717882,0.3333333333333333
180102-021-0104,0.20408163265306123,0.0,0.2000000000000003,0.42857142857142855,0.013729607494750577,0.9659233274868456,0.0
180102-021-0104,0.22448979591836735,0.4166666666666667,0.5500000000000007,0.5714285714285714,0.7170085608140847,0.2164870959659232,0.6666666666666666
180102-021-0104,0.24489795918367346,0.5,0.5500000000000007,0.5714285714285714,0.8098853173962205,0.1280380856928087,0.3333333333333333
180102-021-0104,0.2653061224489796,0.3333333333333333,0.700000000000001,0.5714285714285714,0.9856242933290257,0.008018040591330504,0.3333333333333333
180102-021-0104,0.2857142857142857,0.16666666666666666,0.6000000000000009,0.42857142857142855,0.0316588596349542,0.9135554998747184,0.6666666666666666
180102-021-0104,0.30612244897959184,0.6666666666666666,0.5500000000000007,0.42857142857142855,0.7833952511710547,0.15610122776246546,0.6666666666666666
