Unnamed: 0,LOT,Casting_Pressure,Humidity,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Temperature,Short_Shot,ERROR
0,180102-021-0101,0.3059042810463985,0.4860048239810585,1.030504436081115,0.4741885988588856,0.4676052792932341,0.6399288221418603,0,0
1,180102-021-0101,0.2856457193876967,-1.349315189498736,-0.039752396644078,-0.403938436064968,-1.1102039453158197,-1.0613771236568563,0,0
2,180102-021-0101,0.3059042810463985,0.9950606631108448,-1.6451376457318672,0.9132521163208124,0.8979168860047942,1.310826507922718,0,0
3,180102-021-0101,-3.3001196942025324,-1.9474935642625169,-2.027372228848008,-2.160192505912676,-2.2577015632133133,-1.502980663664511,0,0
4,180102-021-0101,0.2755164385583457,-1.0728842738881992,-0.039752396644078,-0.8430019535268949,-0.6798923386042596,-0.9736225740399496,0,0
5,180102-021-0101,0.2856457193876967,-1.823628345245777,-0.039752396644078,-1.2820654709888215,-1.397078349790193,-1.3416255240463293,0,0
6,180102-021-0101,0.2957750002170476,0.6702921010547497,0.8776106028346587,0.0351250813969587,0.4676052792932341,0.685221492911876,0,0
7,180102-021-0101,0.2957750002170476,0.4860048239810585,-0.6513277296299023,0.0351250813969587,0.4676052792932341,0.6399288221418603,0,0
8,180102-021-0101,0.2653871577289948,-1.926345843942586,-0.3455400631369906,-0.403938436064968,-1.397078349790193,-1.3557794836619563,0,0
9,180102-021-0101,0.2957750002170476,0.2699959664274738,0.4189291030952908,-0.403938436064968,0.4676052792932341,0.5465126886786994,0,0
10,180102-021-0101,0.2856457193876967,-1.6272566565606927,-0.1926462298905343,-1.2820654709888215,-0.6798923386042596,-1.0868542509649914,0,0
11,180102-021-0101,0.2957750002170476,1.0932465074533873,0.7247167695882035,0.4741885988588856,1.1847912904791678,1.4919971910027758,0,0
12,180102-021-0101,0.2957750002170476,0.6702921010547497,1.030504436081115,1.3523156337827391,0.0372936725816739,0.685221492911876,0,0
13,180102-021-0101,0.2856457193876967,0.0419026972624955,-2.3331598953409207,-0.403938436064968,-0.6798923386042596,-0.6282659594185802,0,0
14,180102-021-0101,0.2856457193876967,-0.0713886615942861,0.4189291030952908,-0.403938436064968,-0.6798923386042596,-0.7726363474980057,0,0
15,180102-021-0101,0.2856457193876967,0.0419026972624955,0.7247167695882035,0.4741885988588856,0.4676052792932341,-0.5065419067241651,0,0
16,180102-021-0101,0.2856457193876967,0.0388815943596444,0.1131414366023782,0.9132521163208124,0.0372936725816739,-0.7726363474980057,0,0
17,180102-021-0101,0.2856457193876967,0.2699959664274738,0.8776106028346587,0.0351250813969587,0.4676052792932341,0.5465126886786994,0,0
18,180102-021-0101,0.3059042810463985,0.3062492012616387,0.8776106028346587,0.0351250813969587,0.4676052792932341,-0.189493211334055,0,0
19,180102-021-0101,-3.310248975031884,-0.0713886615942861,-0.3455400631369906,0.4741885988588856,-0.6798923386042596,-0.7726363474980057,0,0
20,180102-021-0101,0.3059042810463985,0.9950606631108448,0.8776106028346587,0.9132521163208124,1.6151028971907275,1.310826507922718,0,0
21,180102-021-0101,0.2856457193876967,0.0962825495137454,0.6482698529649753,-0.403938436064968,0.0372936725816739,-0.492387947108533,0,0
22,180102-021-0101,0.2856457193876967,-1.0728842738881992,0.5718229363417472,-0.8430019535268949,-0.6798923386042596,-0.9736225740399496,0,0
23,180102-021-0101,0.2856457193876967,0.3168230614216067,0.7247167695882035,0.2546568401279222,0.4676052792932341,-0.3451867671059831,0,0
24,180102-021-0101,0.2856457193876967,0.0419026972624955,-1.56869072910864,-0.403938436064968,-0.6798923386042596,-0.6282659594185802,0,0
25,180102-021-0101,0.2957750002170476,0.0419026972624955,0.8011636862114316,0.0351250813969587,-0.6798923386042596,-0.5065419067241651,0,0
26,180102-021-0101,0.2957750002170476,1.0464194124592543,0.8776106028346587,1.3523156337827391,1.6151028971907275,1.486335607156527,0,0
27,180102-021-0101,0.2957750002170476,0.4935575812381809,1.030504436081115,1.3523156337827391,1.1847912904791678,0.6427596140649847,0,0
28,180102-021-0101,0.2755164385583457,0.2231688714333356,0.1895883532256064,0.6937203575898491,-0.6798923386042596,-0.4895571551854086,0,0
29,180102-021-0101,0.2957750002170476,0.0373710429082243,0.6482698529649753,0.6937203575898491,-0.2495807318926994,0.1077399405941741,0,0
30,180102-021-0101,-3.5128345916189017,-2.1061014666620057,-0.8042215628763585,-2.160192505912676,-2.2577015632133133,-1.6530126355901855,0,0
31,180102-021-0101,0.2957750002170476,1.041887758104983,-0.4984338963834459,0.0351250813969587,0.4676052792932341,1.109840281380769,0,0
32,180102-021-0101,0.2755164385583457,-1.754142978480283,-0.9571153961228148,-2.5992560233746023,-1.8273899565017533,-1.2963328532763136,0,0
33,180102-021-0101,-3.3001196942025324,-0.0713886615942861,-0.9571153961228148,-1.5015972297197853,-0.6798923386042596,-0.7726363474980057,0,0
34,180102-021-0101,0.2957750002170476,1.2231539322758285,1.030504436081115,1.3523156337827391,1.1847912904791678,1.197594830997676,0,0
35,180102-021-0101,0.2957750002170476,0.0962825495137454,0.1131414366023782,-0.403938436064968,-0.2495807318926994,-0.492387947108533,0,0
36,180102-021-0101,0.2957750002170476,0.9950606631108448,0.4189291030952908,0.9132521163208124,0.0372936725816739,1.310826507922718,0,0
37,180102-021-0101,0.2957750002170476,0.4860048239810585,1.1833982693275713,1.3523156337827391,0.8979168860047942,0.6399288221418603,0,0
38,180102-021-0101,0.2957750002170476,1.2699810272699614,1.1833982693275713,0.9132521163208124,2.045414503902288,1.2060872067670545,0,0
39,180102-021-0101,0.2957750002170476,1.0932465074533873,0.8776106028346587,1.3523156337827391,1.1847912904791678,1.4919971910027758,0,0
40,180102-021-0101,0.3059042810463985,0.8742165469969515,-1.1100092293692712,0.2546568401279222,1.6151028971907275,1.466520063694646,0,0
41,180102-021-0101,0.2856457193876967,0.0962825495137454,-2.1802660620944643,-0.8430019535268949,0.0372936725816739,-0.492387947108533,0,0
42,180102-021-0101,0.2856457193876967,-1.823628345245777,-1.033562312746043,-1.0625337122578584,-1.397078349790193,-1.3416255240463293,0,0
43,180102-021-0101,0.2957750002170476,0.4935575812381809,1.030504436081115,-0.1844066773340046,0.4676052792932341,0.6427596140649847,0,0
44,180102-021-0101,0.3059042810463985,0.3183336128730323,-0.4984338963834459,0.2546568401279222,-0.2495807318926994,0.0001698475153861,0,0
45,180102-021-0101,0.2856457193876967,-1.6272566565606927,-0.3455400631369906,-0.403938436064968,-0.2495807318926994,-1.0868542509649914,0,0
46,180102-021-0101,0.2957750002170476,1.2231539322758285,0.5718229363417472,1.3523156337827391,0.8979168860047942,1.197594830997676,0,0
47,180102-021-0101,0.2957750002170476,-1.0728842738881992,-2.4860537285873767,-1.5015972297197853,-0.6798923386042596,-0.9736225740399496,0,0
48,180102-021-0101,0.2957750002170476,0.6702921010547497,0.4189291030952908,0.9132521163208124,0.8979168860047942,0.685221492911876,0,0
49,180102-021-0101,0.2957750002170476,0.8742165469969515,-0.1926462298905343,0.6937203575898491,0.0372936725816739,1.466520063694646,0,0
50,180102-021-0102,0.1838290060036624,-0.3380917985851622,-1.0742795821566045,-1.9216666641657911,1.2259793888183097,1.3226008392759123,0,0
51,180102-021-0102,0.1838290060036624,-0.3089961188446044,-0.8585607905588925,0.4076262620957778,0.2681829913040068,0.359588723886406,0,0
52,180102-021-0102,-1.6544610540325442,-0.4399266776770761,-0.4271232073634684,0.4076262620957778,1.2259793888183097,-0.6034233915030663,0,0
53,180102-021-0102,0.1838290060036624,-0.6290485959906378,-0.4271232073634684,-0.7570202010350067,1.2259793888183097,-0.5456426645796946,0,0
54,180102-021-0102,0.1838290060036624,0.6075177929826462,0.2200331674296675,-0.7570202010350067,0.2681829913040068,-0.5937932703491596,0,0
55,180102-021-0102,0.1838290060036624,-0.3380917985851622,-0.4271232073634684,0.4076262620957778,0.2681829913040068,1.3226008392759123,0,0
56,180102-021-0102,-1.6544610540325442,2.644215374821026,-0.8585607905588925,1.5722727252265625,0.2681829913040068,-1.5664355068925728,0,0
57,180102-021-0102,0.1838290060036624,2.316888977739848,0.4357519590273795,-0.1746969694696144,1.864510320494512,-1.2967921145834933,0,0
58,180102-021-0102,0.1838290060036624,-0.6508703557960498,0.0043143758319555,0.4076262620957778,-1.3281443378864977,-0.5937932703491596,0,0
59,180102-021-0102,2.022119066039869,0.1492608370690208,-1.2899983737543164,1.5722727252265625,0.2681829913040068,1.3226008392759123,0,0
60,180102-021-0102,0.1838290060036624,-0.8618140339150234,0.8671895422228005,1.5722727252265625,1.2259793888183097,0.3306983604247201,0,0
61,180102-021-0102,0.1838290060036624,-1.087305551904289,0.0043143758319555,0.4076262620957778,0.2681829913040068,-0.4397113318868577,0,0
62,180102-021-0102,0.1838290060036624,-0.4253788378068101,-0.8585607905588925,1.5722727252265625,1.2259793888183097,1.3226008392759123,0,0
63,180102-021-0102,0.1838290060036624,-0.9418271532015252,2.5929398750044963,-0.7570202010350067,1.2259793888183097,0.359588723886406,0,0
64,180102-021-0102,0.1838290060036624,-0.6290485959906378,1.2986271254182244,0.4076262620957778,-0.6896134062102958,-0.5456426645796946,0,0
65,180102-021-0102,0.1838290060036624,0.1492608370690208,-0.8585607905588925,0.4076262620957778,0.2681829913040068,1.3226008392759123,0,0
66,180102-021-0102,0.1838290060036624,0.9493920299340916,0.6514707506250915,0.4076262620957778,-1.3281443378864977,-1.5471752645847594,0,0
67,180102-021-0102,0.1838290060036624,-1.087305551904289,0.0043143758319555,0.4076262620957778,-1.3281443378864977,-0.4397113318868577,0,0
68,180102-021-0102,0.1838290060036624,-0.6290485959906378,0.4357519590273795,-0.7570202010350067,-1.3281443378864977,1.1107381738902389,0,0
69,180102-021-0102,-1.6544610540325442,0.1565347570041668,-0.4271232073634684,-1.3393434326003988,0.2681829913040068,-0.5841631491952871,0,0
70,180102-021-0102,0.1838290060036624,1.6476883437072485,0.8671895422228005,-1.9216666641657911,-1.3281443378864977,-1.5279150222769804,0,0
71,180102-021-0102,-1.6544610540325442,1.6476883437072485,0.4357519590273795,-0.7570202010350067,-0.6896134062102958,-1.5279150222769804,0,0
72,180102-021-0102,0.1838290060036624,-0.0398610812445408,0.0043143758319555,0.4076262620957778,-0.6896134062102958,-0.6034233915030663,0,0
73,180102-021-0102,0.1838290060036624,-0.0835046008553647,0.0043143758319555,-0.7570202010350067,0.2681829913040068,-0.6034233915030663,0,0
74,180102-021-0102,-1.6544610540325442,0.9493920299340916,0.8671895422228005,-0.1746969694696144,-0.6896134062102958,-1.5471752645847594,0,0
75,180102-021-0102,-1.6544610540325442,1.6476883437072485,2.1615022918090725,-0.7570202010350067,-1.3281443378864977,-1.5279150222769804,0,0
76,180102-021-0102,0.1838290060036624,0.1492608370690208,-0.8585607905588925,1.5722727252265625,0.2681829913040068,1.3226008392759123,0,0
77,180102-021-0102,0.1838290060036624,-0.6654181956663416,0.4357519590273795,0.4076262620957778,-0.6896134062102958,0.282547754655255,0,0
78,180102-021-0102,2.022119066039869,-0.4253788378068101,-0.8585607905588925,0.4076262620957778,0.2681829913040068,1.3226008392759123,0,0
79,180102-021-0102,0.1838290060036624,-0.9418271532015252,-0.8585607905588925,-0.7570202010350067,0.2681829913040068,0.359588723886406,0,0
80,180102-021-0102,-1.6544610540325442,0.1565347570041668,2.1615022918090725,-1.3393434326003988,-0.6896134062102958,-0.5841631491952871,0,0
81,180102-021-0102,0.1838290060036624,-0.2508047593635144,-0.8585607905588925,0.4076262620957778,-0.6896134062102958,1.3226008392759123,0,0
82,180102-021-0102,-1.6544610540325442,-0.4253788378068101,-0.4271232073634684,0.4076262620957778,-1.6474098037245986,1.3226008392759123,0,0
83,180102-021-0102,0.1838290060036624,-0.6363225159257837,-0.8585607905588925,0.4076262620957778,-0.6896134062102958,0.5233007835026489,0,0
84,180102-021-0102,0.1838290060036624,-0.6363225159257837,-0.4271232073634684,0.4076262620957778,1.2259793888183097,0.5233007835026489,0,0
