Unnamed: 0,LOT,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Humidity,Temperature,Casting_Pressure,Short_Shot,ERROR
0,180102-021-0101,0.9583333333333331,0.7777777777777778,0.6333333333333333,0.7677852348993279,0.7290729072907303,1.0,0,0
1,180102-021-0101,0.6666666666666666,0.5555555555555556,0.2666666666666666,0.2241610738255023,0.1881188118811879,0.9946949602122016,0,0
2,180102-021-0101,0.2291666666666668,0.8888888888888888,0.7333333333333333,0.9185682326621916,0.9423942394239438,1.0,0,0
3,180102-021-0101,0.1250000000000001,0.1111111111111111,0.0,0.0469798657718122,0.0477047704770468,0.0557029177718832,0,0
4,180102-021-0101,0.6666666666666666,0.4444444444444444,0.3666666666666666,0.3060402684563748,0.2160216021602164,0.9920424403183024,0,0
5,180102-021-0101,0.6666666666666666,0.3333333333333333,0.2,0.0836689038031309,0.0990099009900986,0.9946949602122016,0,0
6,180102-021-0101,0.9166666666666666,0.6666666666666666,0.6333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007,0,0
7,180102-021-0101,0.5000000000000001,0.6666666666666666,0.6333333333333333,0.7677852348993279,0.7290729072907303,0.9973474801061007,0,0
8,180102-021-0101,0.5833333333333333,0.5555555555555556,0.2,0.0532438478747202,0.0945094509450949,0.9893899204244032,0,0
9,180102-021-0101,0.7916666666666667,0.5555555555555556,0.6333333333333333,0.7038031319910518,0.6993699369936994,0.9973474801061007,0,0
10,180102-021-0101,0.625,0.3333333333333333,0.3666666666666666,0.1418344519015661,0.1800180018001795,0.9946949602122016,0,0
11,180102-021-0101,0.8750000000000002,0.7777777777777778,0.8,0.947651006711409,1.0,0.9973474801061007,0,0
12,180102-021-0101,0.9583333333333331,1.0,0.5333333333333333,0.8223713646532429,0.7434743474347447,0.9973474801061007,0,0
13,180102-021-0101,0.0416666666666667,0.5555555555555556,0.3666666666666666,0.6362416107382555,0.3258325832583262,0.9946949602122016,0,0
14,180102-021-0101,0.7916666666666667,0.5555555555555556,0.3666666666666666,0.6026845637583884,0.2799279927992801,0.9946949602122016,0,0
15,180102-021-0101,0.8750000000000002,0.7777777777777778,0.6333333333333333,0.6362416107382555,0.3645364536453643,0.9946949602122016,0,0
16,180102-021-0101,0.7083333333333334,0.8888888888888888,0.5333333333333333,0.6353467561521247,0.2799279927992801,0.9946949602122016,0,0
