LOT,Casting_Pressure,Date,Humidity,Injection_Velocity_1,Injection_Velocity_2,Injection_Velocity_3,Temperature,Short_Shot,ERROR
180102-021-0101,0.30590428104639855,,0.48600482398105854,1.030504436081115,0.47418859885888565,0.4676052792932341,0.6399288221418603,3,0
180102-021-0101,0.2856457193876967,,-1.3493151894987359,-0.03975239664407804,-0.40393843606496804,-1.1102039453158197,-1.0613771236568565,3,0
180102-021-0101,0.30590428104639855,,0.9950606631108448,-1.6451376457318672,0.9132521163208125,0.8979168860047942,1.310826507922718,3,0
180102-021-0101,-3.3001196942025324,,-1.9474935642625166,-2.027372228848008,-2.1601925059126756,-2.2577015632133133,-1.5029806636645113,3,0
180102-021-0101,0.27551643855834573,,-1.0728842738881992,-0.03975239664407804,-0.8430019535268949,-0.6798923386042596,-0.9736225740399496,3,0
180102-021-0101,0.2856457193876967,,-1.8236283452457775,-0.03975239664407804,-1.2820654709888217,-1.397078349790193,-1.3416255240463293,3,0
180102-021-0101,0.2957750002170476,,0.6702921010547497,0.8776106028346587,0.03512508139695878,0.4676052792932341,0.685221492911876,3,0
180102-021-0101,0.2957750002170476,,0.48600482398105854,-0.6513277296299023,0.03512508139695878,0.4676052792932341,0.6399288221418603,3,0
180102-021-0101,0.2653871577289948,,-1.926345843942586,-0.34554006313699065,-0.40393843606496804,-1.397078349790193,-1.3557794836619563,3,0
180102-021-0101,0.2957750002170476,,0.26999596642747387,0.41892910309529086,-0.40393843606496804,0.4676052792932341,0.5465126886786994,3,0
180102-021-0101,0.2856457193876967,,-1.6272566565606927,-0.19264622989053434,-1.2820654709888217,-0.6798923386042596,-1.0868542509649914,3,0
180102-021-0101,0.2957750002170476,,1.0932465074533873,0.7247167695882035,0.47418859885888565,1.1847912904791678,1.4919971910027758,3,0
180102-021-0101,0.2957750002170476,,0.6702921010547497,1.030504436081115,1.3523156337827393,0.03729367258167396,0.685221492911876,3,0
180102-021-0101,0.2856457193876967,,0.04190269726249558,-2.3331598953409207,-0.40393843606496804,-0.6798923386042596,-0.6282659594185802,3,0
180102-021-0101,0.2856457193876967,,-0.07138866159428617,0.41892910309529086,-0.40393843606496804,-0.6798923386042596,-0.7726363474980057,3,0
180102-021-0101,0.2856457193876967,,0.04190269726249558,0.7247167695882035,0.47418859885888565,0.4676052792932341,-0.5065419067241651,3,0
180102-021-0101,0.2856457193876967,,0.038881594359644486,0.11314143660237826,0.9132521163208125,0.03729367258167396,-0.7726363474980057,3,0
180102-021-0101,0.2856457193876967,,0.26999596642747387,0.8776106028346587,0.03512508139695878,0.4676052792932341,0.5465126886786994,3,0
180102-021-0101,0.30590428104639855,,0.3062492012616387,0.8776106028346587,0.03512508139695878,0.4676052792932341,-0.18949321133405503,3,0
180102-021-0101,-3.3102489750318833,,-0.07138866159428617,-0.34554006313699065,0.47418859885888565,-0.6798923386042596,-0.7726363474980057,3,0
